product_name,category,weight,fragility_level,storage_condition
Residential Industrial Widget #4161,Apparel,30.664,High,Sterile
Advanced Furniture Set #1792,Sports,53.694,Medium,Dark Storage
Waterproof Sports Container #1922,Electronics,75.329,Medium,Pressurized
Advanced Apparel Bundle #6822,Apparel,68.701,High,Climate Controlled
Industrial Apparel Component #8243,Sports,77.527,Medium,Dry Storage
Vacuum-Sealed Medical Jar #3430,Luxury,67.859,Low,Room Temperature
Lightweight Pharmaceuticals Lot #3007,Retail,62.127,Medium,Frozen
Deluxe Toys Assembly #945,Cosmetics,39.558,Low,Room Temperature
Waterproof Luxury Widget #5476,Retail,54.346,High,Frozen
Waterproof Apparel Vessel #7835,Apparel,8.459,Medium,Frozen
Airtight Cosmetics Batch #3126,Electronics,9.986,Medium,Humidity Controlled
Portable Retail Jar #1072,Luxury,31.934,Medium,Pressurized
Heavy-Duty Cosmetics Crate #7210,Apparel,95.113,Medium,Ventilated
Fireproof Sports Container #2712,Medical,92.686,Medium,Humidity Controlled
Residential Pharmaceuticals Widget #6507,Automotive,75.186,Medium,Ventilated
Professional Luxury Barrel #1442,Automotive,10.078,Low,Climate Controlled
Lightweight Furniture Package #8466,Furniture,43.152,Low,Room Temperature
Commercial Electronics Batch #7060,Electronics,38.703,Medium,Humidity Controlled
Lightweight Cosmetics Cylinder #4336,Toys,78.711,Medium,Pressurized
Heavy-Duty Electronics Assembly #949,Retail,13.366,High,Room Temperature
Portable Chemical Pack #6642,Automotive,7.222,Medium,Humidity Controlled
Heavy-Duty Apparel Package #2898,Industrial,32.577,Low,Frozen
Standard Furniture Canister #6826,Luxury,25.743,Medium,Climate Controlled
Waterproof Chemical Widget #5316,Food & Beverage,77.007,High,Sterile
Waterproof Sports Package #1312,Furniture,93.302,Low,Frozen
Advanced Retail Bundle #3062,Chemical,84.818,Low,Dry Storage
Compact Apparel Batch #5204,Toys,40.713,High,Dark Storage
Lightweight Furniture Sack #2415,Electronics,51.305,Low,Humidity Controlled
Airtight Cosmetics Sack #4359,Retail,47.048,Low,Refrigerated
Portable Food & Beverage Bundle #7393,Furniture,2.086,Low,Dark Storage
Fireproof Agriculture Lot #5164,Cosmetics,4.654,High,Climate Controlled
Waterproof Apparel System #1833,Chemical,93.667,Low,Dry Storage
Deluxe Furniture Batch #3027,Toys,64.334,Low,Frozen
Industrial Food & Beverage Cylinder #184,Electronics,79.752,Medium,Room Temperature
Basic Toys Canister #7031,Toys,61.185,High,Dry Storage
Vacuum-Sealed Medical Box #3112,Electronics,98.314,Medium,Refrigerated
Portable Electronics Jar #5306,Cosmetics,26.985,High,Room Temperature
Lightweight Toys Gadget #8488,Sports,77.039,High,Refrigerated
Compact Pharmaceuticals Crate #5013,Retail,60.779,High,Ventilated
Commercial Food & Beverage Widget #7035,Retail,84.479,High,Ventilated
Economy Retail Package #7302,Pharmaceuticals,84.086,Medium,Frozen
Advanced Food & Beverage Shipment #5877,Toys,26.946,Low,Humidity Controlled
Basic Chemical Widget #8904,Apparel,60.978,High,Room Temperature
Dustproof Agriculture Sack #832,Industrial,31.846,Low,Ventilated
Professional Medical Kit #6564,Cosmetics,35.458,Medium,Ventilated
Lightweight Chemical Can #4690,Industrial,98.787,Low,Sterile
Industrial Industrial Drum #8312,Automotive,49.877,High,Dry Storage
Deluxe Cosmetics Cylinder #9981,Sports,25.196,Low,Humidity Controlled
Vacuum-Sealed Electronics Module #1482,Sports,82.856,High,Room Temperature
Basic Pharmaceuticals Container #8201,Pharmaceuticals,65.82,Medium,Room Temperature
Premium Agriculture Kit #6397,Pharmaceuticals,71.751,Medium,Climate Controlled
Portable Cosmetics Device #6732,Pharmaceuticals,65.102,Low,Dry Storage
Dustproof Pharmaceuticals Bag #643,Food & Beverage,35.442,High,Sterile
Airtight Cosmetics Case #6174,Chemical,14.077,High,Climate Controlled
Airtight Agriculture Sack #9888,Sports,84.169,Low,Ventilated
Standard Agriculture Unit #8801,Cosmetics,84.454,Low,Room Temperature
Standard Agriculture Pouch #9792,Cosmetics,9.727,High,Ventilated
Vacuum-Sealed Apparel Bundle #713,Medical,46.038,Medium,Pressurized
Residential Agriculture Box #1303,Apparel,46.082,High,Humidity Controlled
Premium Automotive Set #2316,Food & Beverage,65.665,Low,Pressurized
Standard Luxury Barrel #6968,Luxury,42.594,Medium,Pressurized
Professional Toys Pallet #9658,Agriculture,15.981,Low,Pressurized
Economy Sports Cartridge #9494,Toys,75.486,Low,Sterile
Premium Toys Bottle #5371,Automotive,78.692,High,Dark Storage
Commercial Electronics Bundle #6648,Agriculture,51.479,Medium,Refrigerated
Standard Toys Assembly #9349,Sports,42.086,Low,Dry Storage
Portable Chemical Widget #2830,Pharmaceuticals,97.11,Medium,Room Temperature
Residential Electronics Canister #7741,Agriculture,64.318,High,Pressurized
Commercial Sports Box #3767,Apparel,71.672,Medium,Frozen
Portable Pharmaceuticals Pallet #3378,Furniture,42.057,Medium,Climate Controlled
Advanced Toys Module #8567,Luxury,51.684,Low,Ventilated
Shockproof Pharmaceuticals Pallet #3604,Cosmetics,70.009,Medium,Dark Storage
Standard Food & Beverage Jar #7334,Pharmaceuticals,84.358,Low,Refrigerated
Commercial Toys Bottle #8038,Automotive,9.318,High,Refrigerated
Advanced Sports Pallet #9104,Furniture,54.134,Low,Climate Controlled
Premium Automotive Vessel #2689,Chemical,14.753,Medium,Humidity Controlled
Residential Apparel System #7670,Retail,34.055,Medium,Dark Storage
Vacuum-Sealed Automotive Box #5840,Sports,54.921,Low,Dark Storage
Compact Food & Beverage Gadget #6235,Luxury,15.361,Low,Ventilated
Dustproof Apparel Set #5389,Agriculture,14.527,High,Ventilated
Commercial Agriculture Capsule #6529,Food & Beverage,45.086,High,Sterile
Professional Chemical Sack #6178,Electronics,98.072,Low,Dry Storage
Professional Furniture Unit #296,Furniture,67.963,High,Room Temperature
Residential Automotive Widget #2579,Electronics,70.872,Medium,Humidity Controlled
Portable Electronics Vessel #2660,Retail,27.346,High,Pressurized
Economy Cosmetics Bundle #580,Medical,63.812,Low,Pressurized
Dustproof Electronics Box #4852,Industrial,81.011,Medium,Sterile
Portable Retail Drum #8887,Automotive,70.356,Low,Ventilated
Waterproof Medical Kit #6452,Apparel,49.69,Medium,Dry Storage
Basic Sports Case #6196,Sports,52.531,High,Pressurized
Industrial Chemical Cylinder #9766,Sports,68.581,Medium,Dry Storage
Advanced Automotive Bottle #3762,Furniture,51.467,Medium,Sterile
Dustproof Medical Parcel #7368,Food & Beverage,32.109,High,Room Temperature
Industrial Industrial Cylinder #7347,Toys,58.145,Medium,Pressurized
Residential Electronics Bottle #7545,Sports,76.234,High,Dark Storage
Portable Agriculture Package #7533,Pharmaceuticals,40.558,High,Dry Storage
Industrial Furniture Container #4474,Toys,26.431,High,Ventilated
Standard Automotive Barrel #7250,Apparel,20.616,Low,Frozen
Professional Cosmetics Cylinder #4664,Electronics,68.556,Medium,Refrigerated
Advanced Retail Pack #2091,Pharmaceuticals,23.856,Medium,Refrigerated
Economy Apparel Widget #3086,Pharmaceuticals,11.54,High,Sterile
Vacuum-Sealed Pharmaceuticals Batch #5011,Electronics,63.24,Medium,Refrigerated
Fireproof Toys Component #4447,Toys,87.862,High,Refrigerated
Commercial Pharmaceuticals Component #9599,Pharmaceuticals,92.847,High,Pressurized
Commercial Retail Module #6853,Toys,64.393,High,Refrigerated
Compact Toys Batch #6967,Toys,76.725,Low,Ventilated
Waterproof Medical Canister #8259,Electronics,91.549,Medium,Sterile
Compact Cosmetics Kit #8767,Electronics,87.32,Low,Ventilated
Portable Sports Sack #991,Sports,13.282,Medium,Frozen
Industrial Food & Beverage Component #3371,Sports,55.528,Medium,Pressurized
Standard Cosmetics Crate #780,Sports,89.357,Low,Climate Controlled
Residential Cosmetics Bottle #8518,Luxury,70.673,High,Dark Storage
Dustproof Apparel Jar #3975,Medical,30.448,Medium,Room Temperature
Portable Automotive Shipment #2901,Cosmetics,71.413,Low,Dark Storage
Standard Sports Device #5592,Furniture,32.858,High,Sterile
Residential Retail Envelope #5413,Apparel,86.239,High,Dry Storage
Deluxe Cosmetics Device #9278,Cosmetics,33.898,High,Ventilated
Waterproof Pharmaceuticals Sack #219,Electronics,80.057,Medium,Dry Storage
Professional Chemical Capsule #1448,Agriculture,10.246,Low,Dry Storage
Heavy-Duty Industrial Crate #399,Food & Beverage,32.358,Medium,Room Temperature
Airtight Luxury Widget #471,Medical,84.431,Medium,Ventilated
Professional Toys Barrel #4920,Medical,90.516,Medium,Frozen
Compact Furniture Parcel #9472,Medical,9.452,Medium,Sterile
Airtight Pharmaceuticals Bundle #518,Sports,67.583,High,Dry Storage
Basic Medical Component #6609,Toys,27.457,Medium,Climate Controlled
Commercial Apparel Bottle #9252,Electronics,31.187,High,Pressurized
Airtight Agriculture Pallet #1473,Cosmetics,10.557,Low,Climate Controlled
Dustproof Agriculture Cartridge #3510,Food & Beverage,30.926,Medium,Room Temperature
Lightweight Sports Barrel #948,Medical,91.983,Low,Frozen
Advanced Automotive Case #7545,Luxury,22.759,High,Humidity Controlled
Basic Luxury Package #1600,Retail,5.017,Medium,Pressurized
Dustproof Retail Kit #9496,Furniture,11.472,High,Dark Storage
Airtight Food & Beverage Unit #6319,Retail,93.446,High,Sterile
Shockproof Chemical Gadget #3142,Food & Beverage,74.391,High,Ventilated
Industrial Chemical Assembly #8232,Luxury,87.284,High,Ventilated
Shockproof Sports Pack #6893,Toys,5.438,Low,Dry Storage
Airtight Sports Device #2037,Medical,97.355,High,Climate Controlled
Advanced Sports Gadget #1638,Automotive,42.693,Medium,Climate Controlled
Professional Sports Package #3010,Apparel,97.635,High,Climate Controlled
Compact Retail Assembly #1750,Electronics,91.506,Low,Dark Storage
Waterproof Automotive Pouch #1713,Agriculture,85.637,Medium,Room Temperature
Industrial Toys Canister #1586,Food & Beverage,43.257,Low,Sterile
Lightweight Automotive System #7840,Automotive,48.029,Medium,Pressurized
Professional Electronics Can #698,Medical,20.91,Low,Humidity Controlled
Premium Cosmetics Drum #5125,Sports,94.496,Medium,Ventilated
Vacuum-Sealed Chemical Widget #4538,Agriculture,91.708,High,Frozen
Shockproof Agriculture Pack #2055,Medical,43.974,Low,Pressurized
Premium Industrial Widget #1855,Apparel,96.177,High,Dry Storage
Waterproof Toys System #9586,Agriculture,3.871,High,Refrigerated
Deluxe Toys Kit #1351,Automotive,55.965,High,Climate Controlled
Advanced Luxury Unit #2581,Medical,16.451,Low,Dry Storage
Compact Industrial System #4494,Pharmaceuticals,30.079,Medium,Humidity Controlled
Dustproof Food & Beverage Shipment #1831,Food & Beverage,55.044,High,Climate Controlled
Standard Medical Parcel #1174,Toys,24.819,Medium,Dark Storage
Deluxe Food & Beverage Shipment #6959,Electronics,94.679,Low,Climate Controlled
Heavy-Duty Electronics Container #930,Industrial,79.491,Medium,Climate Controlled
Portable Apparel Device #7812,Apparel,17.751,Low,Humidity Controlled
Advanced Food & Beverage Bottle #6360,Agriculture,63.256,Medium,Pressurized
Waterproof Sports Sack #869,Industrial,65.065,High,Ventilated
Premium Food & Beverage System #3475,Industrial,74.098,High,Refrigerated
Economy Retail Pack #3911,Apparel,6.458,Low,Humidity Controlled
Deluxe Retail Bag #2633,Electronics,94.836,Low,Refrigerated
Industrial Electronics System #161,Toys,66.474,Medium,Sterile
Shockproof Toys Crate #1817,Toys,7.273,Medium,Refrigerated
Advanced Agriculture Gadget #8421,Cosmetics,78.795,Medium,Climate Controlled
Waterproof Industrial Unit #9291,Medical,48.003,High,Room Temperature
Waterproof Luxury Box #2763,Agriculture,59.121,High,Dry Storage
Shockproof Cosmetics Bottle #6631,Agriculture,48.737,Medium,Climate Controlled
Vacuum-Sealed Furniture Shipment #797,Electronics,73.621,Low,Sterile
Professional Electronics Widget #437,Chemical,71.925,Low,Pressurized
Deluxe Cosmetics Capsule #2386,Apparel,28.933,High,Dry Storage
Professional Luxury Lot #3941,Cosmetics,77.088,Low,Frozen
Vacuum-Sealed Cosmetics Batch #2970,Apparel,96.178,High,Humidity Controlled
Lightweight Automotive Bundle #1125,Luxury,74.935,High,Sterile
Deluxe Automotive System #8898,Apparel,70.737,Low,Refrigerated
Heavy-Duty Food & Beverage Crate #9802,Toys,89.08,Medium,Dark Storage
Standard Chemical Barrel #5561,Furniture,46.022,High,Dark Storage
Industrial Pharmaceuticals Package #3019,Apparel,41.445,Low,Room Temperature
Commercial Electronics Barrel #8360,Pharmaceuticals,99.738,High,Dark Storage
Commercial Furniture Crate #2153,Luxury,24.127,Low,Room Temperature
Shockproof Automotive Component #1614,Pharmaceuticals,79.364,Low,Frozen
Deluxe Agriculture Set #516,Medical,69.925,Low,Climate Controlled
Airtight Industrial Parcel #4403,Sports,58.879,Low,Refrigerated
Residential Cosmetics Shipment #7395,Luxury,98.858,High,Ventilated
Shockproof Luxury Set #2357,Apparel,55.417,Medium,Ventilated
Standard Apparel Set #4988,Automotive,61.758,Low,Refrigerated
Airtight Agriculture System #9927,Furniture,86.438,High,Refrigerated
Residential Agriculture Drum #9935,Automotive,15.057,Medium,Climate Controlled
Airtight Apparel Box #2726,Retail,40.42,Medium,Climate Controlled
Basic Luxury Envelope #4031,Electronics,61.716,Low,Dry Storage
Portable Food & Beverage Jar #3985,Chemical,85.849,Low,Ventilated
Portable Chemical Can #3955,Industrial,85.161,Medium,Dark Storage
Shockproof Furniture Module #4393,Luxury,30.786,Medium,Room Temperature
Lightweight Furniture Pallet #6573,Food & Beverage,55.004,Low,Ventilated
Commercial Pharmaceuticals Cartridge #837,Chemical,12.911,Low,Refrigerated
Compact Furniture Component #1190,Sports,58.497,Medium,Dark Storage
Portable Luxury Kit #6473,Luxury,61.273,Medium,Humidity Controlled
Basic Industrial Bundle #329,Sports,75.818,High,Frozen
Compact Automotive Module #8357,Furniture,68.562,Medium,Climate Controlled
Airtight Medical Pack #8833,Chemical,9.359,High,Room Temperature
Dustproof Agriculture Can #3792,Electronics,21.712,High,Humidity Controlled
Premium Electronics Barrel #4955,Electronics,97.283,High,Humidity Controlled
Fireproof Retail Set #338,Automotive,6.448,High,Dry Storage
Advanced Retail System #6450,Retail,93.685,Medium,Climate Controlled
Dustproof Furniture Bottle #3833,Luxury,68.366,High,Dark Storage
Advanced Pharmaceuticals Bundle #5840,Furniture,14.154,High,Pressurized
Professional Food & Beverage Crate #5723,Cosmetics,57.309,Medium,Ventilated
Commercial Cosmetics Can #1690,Chemical,24.196,Low,Refrigerated
Advanced Luxury Device #4392,Industrial,92.523,Medium,Dark Storage
Shockproof Industrial Capsule #2365,Agriculture,73.92,Low,Humidity Controlled
Professional Toys Package #1415,Medical,48.272,High,Dry Storage
Heavy-Duty Pharmaceuticals System #7837,Pharmaceuticals,35.824,Low,Climate Controlled
Standard Luxury Bottle #955,Agriculture,78.189,Medium,Pressurized
Dustproof Medical Pallet #8653,Toys,46.709,Medium,Dry Storage
Premium Toys Barrel #8955,Food & Beverage,13.488,High,Room Temperature
Advanced Chemical Cylinder #1763,Industrial,1.495,Medium,Climate Controlled
Residential Apparel Component #5009,Cosmetics,44.137,High,Dark Storage
Heavy-Duty Toys Canister #4827,Apparel,9.566,Low,Room Temperature
Premium Food & Beverage Canister #4147,Agriculture,52.881,Medium,Pressurized
Economy Sports System #632,Electronics,6.071,High,Pressurized
Residential Chemical Barrel #7873,Furniture,96.506,Low,Climate Controlled
Industrial Medical Bundle #2054,Cosmetics,58.271,Medium,Refrigerated
Heavy-Duty Chemical Capsule #675,Food & Beverage,25.092,Medium,Ventilated
Deluxe Electronics Crate #4937,Toys,41.314,High,Refrigerated
Vacuum-Sealed Apparel Parcel #168,Chemical,1.577,High,Refrigerated
Fireproof Cosmetics Unit #1700,Toys,45.665,Low,Sterile
Vacuum-Sealed Apparel Can #8109,Medical,40.598,High,Humidity Controlled
Compact Pharmaceuticals Vessel #7248,Apparel,30.189,Medium,Ventilated
Shockproof Furniture Set #3377,Retail,5.383,High,Pressurized
Heavy-Duty Pharmaceuticals Gadget #3323,Medical,83.801,Low,Dark Storage
Premium Toys Vessel #6231,Retail,57.861,Low,Dry Storage
Premium Toys Assembly #3104,Luxury,80.883,Low,Humidity Controlled
Shockproof Cosmetics Pouch #6311,Industrial,18.003,High,Dry Storage
Shockproof Apparel Lot #1462,Electronics,40.484,Low,Frozen
Premium Chemical Canister #8992,Cosmetics,5.518,High,Dark Storage
Shockproof Electronics System #4743,Retail,33.591,High,Humidity Controlled
Advanced Luxury Device #2863,Luxury,69.568,High,Humidity Controlled
Waterproof Apparel Gadget #6502,Luxury,83.111,Low,Climate Controlled
Premium Agriculture Pouch #7135,Agriculture,9.648,Medium,Frozen
Advanced Pharmaceuticals Crate #7615,Electronics,40.431,Medium,Room Temperature
Industrial Apparel Can #7118,Food & Beverage,31.572,Medium,Humidity Controlled
Vacuum-Sealed Pharmaceuticals Parcel #248,Agriculture,58.923,Low,Room Temperature
Airtight Automotive Pouch #2595,Food & Beverage,98.312,Medium,Dark Storage
Airtight Toys Gadget #3933,Luxury,25.06,High,Pressurized
Lightweight Apparel Pouch #4361,Pharmaceuticals,12.96,Low,Climate Controlled
Airtight Furniture Can #2896,Electronics,3.248,Medium,Dry Storage
Shockproof Luxury Envelope #975,Retail,97.734,Low,Frozen
Airtight Pharmaceuticals Component #7142,Medical,17.692,Medium,Dark Storage
Advanced Automotive Container #9540,Pharmaceuticals,65.536,Low,Sterile
Basic Toys Canister #8954,Chemical,4.731,Low,Refrigerated
Industrial Pharmaceuticals Crate #7039,Chemical,20.853,High,Climate Controlled
Compact Medical Capsule #366,Cosmetics,22.44,Low,Dry Storage
Heavy-Duty Apparel Kit #9265,Cosmetics,64.21,Medium,Frozen
Vacuum-Sealed Medical Shipment #6151,Toys,37.945,Low,Dry Storage
Standard Apparel Unit #9459,Pharmaceuticals,24.401,High,Climate Controlled
Fireproof Medical Package #3866,Automotive,83.257,Medium,Climate Controlled
Professional Agriculture Sack #9635,Automotive,12.711,Medium,Frozen
Airtight Electronics Bundle #2502,Toys,40.033,Medium,Sterile
Compact Apparel Module #2039,Furniture,42.877,Low,Frozen
Dustproof Furniture Drum #4327,Industrial,58.407,Medium,Dark Storage
Vacuum-Sealed Toys Box #5873,Cosmetics,26.836,High,Room Temperature
Deluxe Cosmetics Cartridge #7564,Agriculture,81.043,Medium,Dry Storage
Advanced Sports Pallet #2210,Apparel,75.06,High,Ventilated
Industrial Retail Package #5640,Medical,90.501,Low,Climate Controlled
Portable Sports Assembly #2269,Medical,57.328,High,Humidity Controlled
Economy Sports Pack #1084,Pharmaceuticals,62.221,Low,Humidity Controlled
Deluxe Cosmetics Gadget #8563,Apparel,83.5,Low,Humidity Controlled
Industrial Automotive System #8745,Agriculture,17.839,Medium,Dark Storage
Advanced Toys Batch #7208,Automotive,81.426,High,Refrigerated
Industrial Electronics Gadget #9456,Industrial,48.844,Medium,Frozen
Fireproof Medical Sack #2388,Automotive,78.775,High,Pressurized
Residential Pharmaceuticals Vessel #6739,Electronics,61.997,Medium,Dark Storage
Basic Industrial Unit #3147,Industrial,10.612,Medium,Humidity Controlled
Compact Toys Crate #2257,Cosmetics,24.996,High,Humidity Controlled
Vacuum-Sealed Electronics Pack #2024,Pharmaceuticals,28.926,Medium,Climate Controlled
Heavy-Duty Cosmetics Cartridge #3597,Luxury,76.492,Medium,Humidity Controlled
Lightweight Electronics Barrel #7860,Medical,23.409,Low,Pressurized
Fireproof Pharmaceuticals Canister #5263,Sports,69.904,High,Dark Storage
Vacuum-Sealed Furniture Envelope #4517,Pharmaceuticals,76.213,High,Pressurized
Airtight Apparel Bundle #782,Luxury,33.974,Low,Frozen
Airtight Retail Envelope #9183,Industrial,20.335,High,Dark Storage
Basic Retail Envelope #1778,Furniture,92.386,Low,Climate Controlled
Industrial Furniture Envelope #9872,Food & Beverage,33.942,Low,Frozen
Economy Electronics Cylinder #1991,Medical,45.821,High,Dark Storage
Economy Agriculture Bundle #3665,Cosmetics,74.52,High,Dry Storage
Residential Apparel Container #981,Automotive,27.218,High,Climate Controlled
Portable Furniture Case #2942,Apparel,54.898,High,Dark Storage
Waterproof Industrial Canister #7826,Cosmetics,66.909,Low,Dark Storage
Deluxe Luxury Capsule #8270,Chemical,10.217,High,Pressurized
Vacuum-Sealed Medical Capsule #7229,Pharmaceuticals,29.674,Medium,Sterile
Premium Luxury Set #7424,Medical,23.713,High,Pressurized
Fireproof Automotive Bundle #5780,Chemical,65.762,Medium,Refrigerated
Professional Food & Beverage Sack #3204,Automotive,86.058,High,Pressurized
Shockproof Toys Bag #8864,Food & Beverage,10.24,High,Dry Storage
Commercial Automotive Bag #2576,Agriculture,46.244,Low,Dry Storage
Dustproof Toys Widget #9853,Electronics,49.761,Low,Ventilated
Industrial Toys Crate #1200,Pharmaceuticals,38.016,Medium,Frozen
Economy Electronics Bottle #3372,Chemical,83.027,Low,Refrigerated
Standard Retail Drum #3514,Industrial,53.677,Medium,Ventilated
Compact Electronics Widget #9478,Toys,90.393,Low,Pressurized
Dustproof Retail Bag #6650,Luxury,14.08,High,Climate Controlled
Portable Food & Beverage Sack #9482,Sports,20.88,Low,Refrigerated
Dustproof Retail Pallet #2208,Industrial,39.883,Low,Sterile
Fireproof Food & Beverage Pallet #7728,Chemical,29.855,Medium,Dark Storage
Advanced Sports Box #470,Pharmaceuticals,32.399,Medium,Frozen
Deluxe Chemical Sack #9189,Agriculture,57.857,High,Frozen
Vacuum-Sealed Retail Pouch #8927,Apparel,84.261,Medium,Humidity Controlled
Commercial Medical Vessel #4533,Chemical,40.605,Low,Sterile
Shockproof Apparel Batch #2194,Food & Beverage,46.055,High,Sterile
Basic Toys Component #9033,Retail,80.672,High,Climate Controlled
Heavy-Duty Pharmaceuticals Can #5029,Electronics,21.602,High,Climate Controlled
Basic Food & Beverage Cylinder #6753,Toys,84.663,Low,Refrigerated
Economy Agriculture Bag #4014,Pharmaceuticals,64.239,High,Dark Storage
Premium Luxury Container #306,Agriculture,29.284,Medium,Refrigerated
Portable Sports Can #3750,Sports,41.059,High,Room Temperature
Dustproof Agriculture System #9078,Apparel,68.225,High,Dry Storage
Waterproof Food & Beverage Package #6887,Cosmetics,32.931,High,Refrigerated
Fireproof Furniture Widget #4307,Electronics,10.577,Medium,Refrigerated
Advanced Toys Device #267,Pharmaceuticals,35.055,High,Room Temperature
Portable Luxury Unit #2322,Food & Beverage,40.195,High,Dry Storage
Economy Medical Parcel #9530,Sports,60.203,High,Sterile
Lightweight Pharmaceuticals Vessel #268,Electronics,76.166,Low,Dry Storage
Commercial Food & Beverage Capsule #422,Cosmetics,23.239,Medium,Dry Storage
Residential Furniture Device #6925,Furniture,91.772,Medium,Ventilated
Premium Apparel Set #5370,Medical,80.031,High,Climate Controlled
Compact Pharmaceuticals Pouch #372,Toys,79.477,Medium,Room Temperature
Fireproof Toys Bundle #1525,Retail,56.379,High,Climate Controlled
Professional Industrial Crate #7880,Food & Beverage,72.864,Low,Dark Storage
Advanced Luxury Container #4581,Furniture,60.089,Low,Refrigerated
Standard Pharmaceuticals Component #9300,Industrial,90.88,Low,Refrigerated
Vacuum-Sealed Retail Pack #1826,Apparel,1.141,Medium,Sterile
Airtight Electronics Kit #5326,Medical,71.067,High,Refrigerated
Deluxe Industrial Package #401,Chemical,2.589,Medium,Frozen
Shockproof Industrial Lot #4736,Luxury,91.194,Low,Pressurized
Airtight Agriculture Device #6615,Toys,83.096,Medium,Dark Storage
Deluxe Sports Pack #861,Luxury,11.995,High,Room Temperature
Economy Automotive Capsule #6383,Agriculture,96.485,High,Sterile
Commercial Pharmaceuticals Jar #5947,Electronics,24.72,Low,Refrigerated
Commercial Sports Widget #9029,Retail,76.994,Medium,Pressurized
Basic Toys Device #5779,Luxury,74.298,Medium,Climate Controlled
Premium Sports Jar #8920,Toys,26.187,Low,Room Temperature
Portable Apparel Barrel #4316,Cosmetics,31.993,Low,Dark Storage
Basic Agriculture Sack #3479,Electronics,69.566,High,Refrigerated
Shockproof Retail Can #8579,Furniture,83.75,High,Refrigerated
Industrial Electronics Drum #6344,Cosmetics,92.086,Medium,Room Temperature
Basic Furniture Can #9201,Food & Beverage,32.46,Medium,Refrigerated
Dustproof Toys Capsule #7260,Retail,70.219,Low,Ventilated
